listing_id,dad__commute_min,dad__transfer_count,dad__station_walk_m,dad__mart_dist_m,dad__hospital_dist_m,mom__commute_min,mom__transfer_count,mom__station_walk_m,mom__mart_dist_m,mom__hospital_dist_m,child__school_walk_m,child__academy_dist_m,child__park_dist_m,child__library_dist_m
H0022,41.0,1.0,518.0,4500.0,2001.0,35.0,0.0,288.0,4500.0,4500.0,418.0,14425.0,1292.0,
H0023,46.0,3.0,400.0,1125.0,4083.0,32.0,1.0,1343.0,535.0,1129.0,360.0,2104.0,968.0,1575.0
H0024,29.0,1.0,363.0,3673.0,2393.0,39.0,1.0,571.0,1705.0,1451.0,901.0,14506.0,2061.0,
H0025,28.0,1.0,381.0,530.0,1171.0,56.0,2.0,469.0,1163.0,1111.0,920.0,16470.0,,1837.0
H0026,59.0,2.0,398.0,1153.0,2874.0,41.0,0.0,,1903.0,2324.0,821.0,4111.0,1884.0,233.0
H0027,60.0,3.0,845.0,485.0,374.0,,2.0,666.0,958.0,156.0,875.0,21986.0,327.0,2899.0
H0028,53.0,1.0,399.0,,1047.0,31.0,0.0,191.0,502.0,195.0,510.0,5428.0,,138.0
H0029,66.0,2.0,733.0,150.0,157.0,24.0,0.0,170.0,337.0,698.0,517.0,4453.0,569.0,360.0
H0030,18.0,0.0,677.0,222.0,180.0,41.0,2.0,297.0,153.0,587.0,414.0,17801.0,470.0,112.0
H0031,37.0,1.0,582.0,4500.0,4500.0,66.0,2.0,1182.0,3398.0,1105.0,623.0,26000.0,1370.0,1598.0
H0032,67.0,2.0,151.0,545.0,1809.0,27.0,1.0,1146.0,659.0,1008.0,440.0,7396.0,1058.0,946.0
H0033,24.0,1.0,746.0,160.0,107.0,54.0,2.0,315.0,162.0,144.0,461.0,13484.0,61.0,60.0
H0034,37.0,2.0,314.0,3812.0,1927.0,41.0,2.0,278.0,2557.0,2848.0,773.0,9164.0,1374.0,2763.0
H0035,57.0,2.0,598.0,330.0,469.0,73.0,3.0,164.0,388.0,323.0,1035.0,,220.0,664.0
H0036,63.0,3.0,236.0,2252.0,788.0,39.0,1.0,421.0,872.0,452.0,699.0,6902.0,2012.0,535.0
H0037,47.0,1.0,210.0,1008.0,629.0,29.0,1.0,441.0,539.0,454.0,1404.0,2830.0,516.0,286.0
H0038,55.0,2.0,1196.0,3046.0,2656.0,62.0,3.0,623.0,2004.0,1696.0,,16837.0,1084.0,1414.0
H0039,58.0,2.0,238.0,1078.0,831.0,,1.0,666.0,296.0,1262.0,228.0,1348.0,1199.0,1051.0
H0040,17.0,0.0,758.0,150.0,77.0,44.0,1.0,362.0,149.0,123.0,818.0,15487.0,249.0,162.0
H0041,50.0,2.0,431.0,2541.0,,41.0,1.0,548.0,1374.0,4037.0,389.0,11174.0,1578.0,1032.0
H0042,13.0,0.0,320.0,835.0,,39.0,2.0,,3001.0,1206.0,499.0,13855.0,4500.0,2203.0
H0043,17.0,0.0,394.0,1412.0,380.0,40.0,1.0,542.0,1034.0,951.0,236.0,16908.0,951.0,1800.0
H0044,47.0,2.0,,1331.0,1519.0,61.0,3.0,305.0,,1837.0,365.0,24284.0,1636.0,817.0
H0045,19.0,0.0,400.0,1881.0,1088.0,44.0,1.0,,2216.0,1987.0,270.0,11508.0,1667.0,1235.0
H0046,45.0,1.0,222.0,3304.0,4500.0,52.0,2.0,497.0,1964.0,,461.0,14300.0,3407.0,3149.0
H0047,31.0,1.0,325.0,1403.0,4500.0,,2.0,419.0,1847.0,1468.0,470.0,7194.0,4500.0,1222.0
H0048,30.0,1.0,671.0,1047.0,363.0,37.0,1.0,,789.0,302.0,599.0,26000.0,1643.0,800.0
H0049,,1.0,464.0,602.0,916.0,53.0,2.0,170.0,607.0,626.0,1064.0,25599.0,444.0,
H0050,64.0,2.0,179.0,1294.0,397.0,34.0,1.0,225.0,523.0,696.0,803.0,4038.0,1159.0,688.0
H0051,59.0,2.0,644.0,348.0,323.0,37.0,0.0,348.0,229.0,173.0,254.0,3659.0,519.0,192.0
H0052,56.0,2.0,402.0,1480.0,3205.0,24.0,0.0,182.0,602.0,462.0,776.0,911.0,1857.0,1479.0
H0053,43.0,1.0,299.0,2694.0,1972.0,56.0,2.0,323.0,,2606.0,605.0,14498.0,2294.0,2147.0
H0054,19.0,0.0,608.0,436.0,,55.0,2.0,328.0,365.0,197.0,545.0,14782.0,328.0,312.0
H0055,20.0,1.0,368.0,1257.0,639.0,48.0,2.0,829.0,569.0,479.0,566.0,13296.0,2136.0,1579.0
H0056,36.0,2.0,212.0,932.0,4409.0,64.0,1.0,436.0,3221.0,3745.0,634.0,25537.0,4301.0,3836.0
H0057,81.0,2.0,1115.0,1807.0,159.0,79.0,2.0,711.0,1540.0,784.0,405.0,24891.0,2342.0,1164.0
H0058,26.0,1.0,400.0,1083.0,1003.0,56.0,2.0,476.0,2086.0,2636.0,523.0,18030.0,1338.0,1183.0
H0059,64.0,2.0,386.0,352.0,218.0,25.0,1.0,300.0,273.0,216.0,1035.0,4693.0,228.0,1038.0
H0060,45.0,1.0,323.0,1210.0,,23.0,0.0,434.0,1274.0,1125.0,403.0,1215.0,241.0,2229.0
H0061,21.0,0.0,772.0,1291.0,3246.0,43.0,1.0,603.0,4500.0,1855.0,342.0,12102.0,819.0,3165.0
H0062,64.0,2.0,302.0,330.0,1202.0,75.0,3.0,778.0,553.0,108.0,555.0,20372.0,461.0,633.0
H0063,33.0,0.0,,2112.0,767.0,68.0,2.0,375.0,1083.0,836.0,325.0,24097.0,967.0,808.0
H0064,42.0,0.0,278.0,2354.0,4500.0,,2.0,163.0,1105.0,2381.0,242.0,,4258.0,
H0065,,,837.0,395.0,101.0,54.0,2.0,157.0,540.0,317.0,482.0,19433.0,124.0,278.0
H0066,29.0,1.0,638.0,1449.0,2940.0,60.0,3.0,337.0,3330.0,514.0,1181.0,19413.0,1090.0,978.0
H0067,26.0,1.0,351.0,1792.0,1057.0,45.0,1.0,112.0,657.0,920.0,562.0,,753.0,799.0
H0068,,1.0,859.0,1543.0,879.0,59.0,2.0,1083.0,890.0,673.0,626.0,16596.0,2499.0,668.0
H0069,45.0,2.0,609.0,225.0,145.0,18.0,0.0,560.0,153.0,205.0,197.0,2078.0,115.0,381.0
H0070,39.0,1.0,348.0,1633.0,2186.0,36.0,1.0,284.0,4500.0,2135.0,713.0,9013.0,3049.0,3613.0
H0071,78.0,3.0,368.0,838.0,792.0,37.0,1.0,219.0,374.0,1018.0,600.0,7424.0,830.0,824.0
H0072,53.0,1.0,484.0,,930.0,34.0,1.0,710.0,636.0,3330.0,411.0,5718.0,2614.0,
H0073,,0.0,255.0,604.0,602.0,,2.0,219.0,2017.0,,626.0,17367.0,1142.0,436.0
H0074,34.0,1.0,404.0,558.0,240.0,55.0,1.0,230.0,463.0,644.0,623.0,20107.0,388.0,89.0
H0075,28.0,1.0,478.0,692.0,312.0,8.0,0.0,265.0,855.0,507.0,337.0,3173.0,221.0,275.0
H0076,10.0,1.0,160.0,,662.0,56.0,1.0,,883.0,4500.0,676.0,19154.0,969.0,645.0
H0077,18.0,0.0,364.0,2210.0,409.0,56.0,1.0,568.0,1262.0,410.0,1042.0,23482.0,836.0,457.0
H0078,13.0,1.0,341.0,2413.0,1064.0,59.0,2.0,777.0,592.0,842.0,511.0,19333.0,,1626.0
H0079,30.0,1.0,710.0,2112.0,2273.0,63.0,2.0,717.0,1250.0,3228.0,371.0,15704.0,1326.0,
H0080,39.0,2.0,146.0,2349.0,2209.0,64.0,2.0,404.0,2030.0,3178.0,524.0,20486.0,3973.0,1850.0
H0081,31.0,0.0,327.0,618.0,2569.0,55.0,2.0,707.0,257.0,1033.0,878.0,17616.0,902.0,2059.0
H0082,41.0,1.0,310.0,2922.0,911.0,43.0,2.0,279.0,2629.0,,310.0,13996.0,1966.0,1697.0
H0083,17.0,0.0,684.0,1597.0,1593.0,43.0,1.0,148.0,914.0,400.0,765.0,12847.0,1044.0,1222.0
H0084,61.0,3.0,394.0,835.0,547.0,33.0,0.0,279.0,516.0,1666.0,408.0,4432.0,1670.0,522.0
H0085,49.0,2.0,1083.0,403.0,459.0,17.0,0.0,259.0,205.0,245.0,646.0,2900.0,410.0,544.0
H0086,38.0,1.0,581.0,352.0,1008.0,13.0,0.0,285.0,430.0,1255.0,432.0,3756.0,1083.0,750.0
H0087,25.0,1.0,322.0,799.0,394.0,38.0,1.0,238.0,199.0,149.0,431.0,,299.0,522.0
H0088,69.0,2.0,460.0,131.0,142.0,70.0,2.0,313.0,127.0,,1226.0,20144.0,77.0,60.0
H0089,64.0,2.0,332.0,484.0,456.0,27.0,1.0,567.0,683.0,599.0,283.0,2714.0,550.0,
H0090,58.0,2.0,647.0,2411.0,1654.0,61.0,3.0,1036.0,607.0,1942.0,730.0,22331.0,1242.0,2392.0
H0091,66.0,2.0,194.0,1466.0,210.0,32.0,1.0,156.0,760.0,771.0,1361.0,6125.0,583.0,162.0
H0092,21.0,0.0,256.0,728.0,1231.0,52.0,,199.0,601.0,747.0,807.0,13524.0,562.0,1784.0
H0093,67.0,2.0,518.0,88.0,68.0,,2.0,261.0,60.0,60.0,294.0,24715.0,60.0,88.0
H0094,56.0,2.0,792.0,4334.0,2306.0,38.0,1.0,615.0,911.0,2875.0,302.0,12898.0,2001.0,1748.0
H0095,26.0,0.0,120.0,324.0,171.0,43.0,2.0,360.0,252.0,178.0,393.0,18862.0,182.0,109.0
H0096,8.0,1.0,,1242.0,707.0,53.0,1.0,271.0,507.0,,620.0,19680.0,1648.0,3315.0
H0097,21.0,2.0,374.0,1401.0,4500.0,26.0,1.0,598.0,2657.0,4183.0,641.0,10425.0,1096.0,4500.0
H0098,48.0,1.0,143.0,2359.0,4500.0,25.0,1.0,683.0,586.0,868.0,303.0,6123.0,1058.0,764.0
H0099,64.0,1.0,90.0,1179.0,,40.0,1.0,399.0,594.0,289.0,370.0,,1528.0,747.0
H0100,68.0,2.0,174.0,171.0,,43.0,1.0,258.0,,230.0,382.0,6653.0,175.0,128.0
H0101,60.0,2.0,399.0,418.0,929.0,39.0,0.0,468.0,895.0,3216.0,523.0,5789.0,493.0,707.0
H0102,14.0,0.0,389.0,507.0,551.0,56.0,2.0,355.0,659.0,981.0,1544.0,20684.0,,238.0
H0103,28.0,1.0,571.0,1394.0,1055.0,73.0,3.0,353.0,1768.0,261.0,359.0,23428.0,973.0,1595.0
H0104,48.0,1.0,298.0,1346.0,483.0,15.0,1.0,304.0,1442.0,1196.0,351.0,8019.0,1044.0,4048.0
H0105,38.0,2.0,219.0,3610.0,2314.0,59.0,2.0,671.0,1073.0,4500.0,325.0,25142.0,1535.0,2681.0
H0106,33.0,0.0,321.0,338.0,715.0,57.0,1.0,463.0,369.0,377.0,787.0,17601.0,140.0,
H0107,82.0,3.0,411.0,195.0,,62.0,,713.0,257.0,238.0,561.0,17990.0,309.0,118.0
H0108,32.0,0.0,458.0,380.0,173.0,60.0,2.0,841.0,543.0,244.0,366.0,18626.0,149.0,330.0
H0109,44.0,1.0,261.0,204.0,424.0,18.0,0.0,519.0,,357.0,478.0,2487.0,253.0,161.0
H0110,,1.0,662.0,2332.0,2437.0,34.0,0.0,,2659.0,1105.0,385.0,9764.0,4118.0,2751.0
H0111,71.0,3.0,287.0,680.0,2809.0,55.0,1.0,715.0,1318.0,2448.0,664.0,11971.0,3294.0,429.0
H0112,58.0,2.0,250.0,523.0,228.0,26.0,1.0,521.0,1100.0,627.0,2191.0,2566.0,610.0,876.0
H0113,,1.0,299.0,1381.0,4389.0,41.0,1.0,1689.0,1001.0,493.0,754.0,23408.0,1636.0,451.0
H0114,39.0,1.0,729.0,3283.0,1003.0,64.0,3.0,478.0,3551.0,4500.0,546.0,,2916.0,2809.0
H0115,59.0,2.0,375.0,620.0,289.0,33.0,1.0,592.0,399.0,,411.0,9566.0,661.0,721.0
H0116,18.0,1.0,275.0,896.0,1762.0,43.0,1.0,473.0,628.0,1213.0,292.0,14331.0,620.0,4500.0
H0117,27.0,2.0,671.0,1680.0,784.0,58.0,2.0,382.0,533.0,1215.0,826.0,18925.0,3991.0,1609.0
H0118,24.0,0.0,1311.0,1967.0,1290.0,48.0,3.0,350.0,1781.0,4500.0,804.0,11441.0,772.0,4500.0
H0119,39.0,2.0,453.0,1163.0,899.0,14.0,1.0,474.0,1164.0,562.0,453.0,5080.0,1872.0,1443.0
H0120,27.0,1.0,795.0,655.0,787.0,36.0,2.0,537.0,1161.0,234.0,1050.0,24429.0,1045.0,2239.0
H0121,30.0,0.0,713.0,,892.0,60.0,,761.0,1181.0,1322.0,579.0,26000.0,994.0,1397.0
H0122,25.0,1.0,289.0,1792.0,1120.0,73.0,1.0,478.0,664.0,1196.0,843.0,21302.0,1152.0,1087.0
H0123,38.0,1.0,409.0,449.0,292.0,27.0,0.0,313.0,296.0,566.0,664.0,1690.0,1239.0,786.0
H0124,47.0,1.0,199.0,1147.0,4500.0,33.0,0.0,337.0,4500.0,4500.0,524.0,8734.0,4500.0,4500.0
H0125,37.0,,360.0,1203.0,995.0,17.0,1.0,195.0,2461.0,,355.0,2535.0,795.0,1487.0
H0126,66.0,2.0,286.0,935.0,158.0,69.0,3.0,1006.0,505.0,349.0,532.0,25333.0,170.0,223.0
H0127,27.0,0.0,323.0,190.0,123.0,41.0,2.0,300.0,423.0,193.0,872.0,23782.0,393.0,270.0
H0128,59.0,3.0,267.0,456.0,332.0,40.0,1.0,687.0,699.0,1090.0,444.0,4090.0,372.0,772.0
H0129,38.0,1.0,345.0,671.0,356.0,25.0,0.0,470.0,673.0,640.0,713.0,3535.0,1472.0,
H0130,21.0,0.0,541.0,491.0,221.0,51.0,2.0,,452.0,336.0,333.0,25209.0,682.0,309.0
H0131,72.0,3.0,378.0,1167.0,1260.0,41.0,2.0,378.0,963.0,703.0,846.0,6420.0,359.0,604.0
H0132,54.0,2.0,145.0,889.0,206.0,40.0,,262.0,314.0,258.0,669.0,5018.0,720.0,307.0
H0133,21.0,0.0,268.0,341.0,797.0,46.0,1.0,237.0,298.0,220.0,314.0,20547.0,298.0,592.0
H0134,44.0,2.0,175.0,4500.0,4445.0,31.0,0.0,1044.0,2041.0,3033.0,512.0,10953.0,3861.0,1854.0
H0135,29.0,1.0,461.0,1732.0,1661.0,59.0,3.0,,2778.0,2575.0,912.0,19050.0,1987.0,3080.0
H0136,35.0,2.0,532.0,677.0,402.0,8.0,0.0,749.0,907.0,626.0,305.0,2846.0,1593.0,1106.0
H0137,56.0,2.0,465.0,625.0,1492.0,35.0,0.0,864.0,1658.0,444.0,335.0,10129.0,1486.0,624.0
H0138,74.0,3.0,262.0,146.0,358.0,72.0,2.0,322.0,180.0,147.0,553.0,26000.0,260.0,1246.0
H0139,39.0,2.0,462.0,,1877.0,66.0,1.0,509.0,4500.0,3551.0,1663.0,22162.0,2404.0,1125.0
H0140,51.0,1.0,312.0,3896.0,1308.0,33.0,1.0,414.0,502.0,1206.0,409.0,2103.0,798.0,3056.0
H0141,65.0,3.0,216.0,1216.0,311.0,76.0,,213.0,,712.0,733.0,20812.0,359.0,1125.0
H0142,77.0,3.0,607.0,381.0,105.0,82.0,2.0,364.0,225.0,227.0,,20877.0,270.0,63.0
H0143,53.0,1.0,633.0,162.0,115.0,28.0,1.0,557.0,418.0,261.0,426.0,5332.0,672.0,682.0
H0144,,1.0,680.0,1043.0,1638.0,60.0,2.0,307.0,1471.0,2684.0,621.0,20918.0,474.0,2157.0
H0145,69.0,2.0,289.0,369.0,241.0,61.0,3.0,337.0,195.0,149.0,458.0,21571.0,217.0,151.0
H0146,15.0,0.0,772.0,1731.0,1334.0,53.0,1.0,367.0,434.0,692.0,479.0,15877.0,557.0,362.0
H0147,18.0,1.0,308.0,,442.0,45.0,3.0,1289.0,389.0,1393.0,249.0,15817.0,956.0,248.0
H0148,66.0,3.0,578.0,1757.0,1407.0,80.0,2.0,147.0,,651.0,566.0,20826.0,599.0,4500.0
H0149,38.0,2.0,305.0,1394.0,1345.0,24.0,0.0,532.0,,1209.0,897.0,5862.0,689.0,618.0
H0150,56.0,1.0,357.0,597.0,278.0,33.0,0.0,351.0,1129.0,586.0,589.0,3261.0,242.0,230.0
H0151,13.0,0.0,107.0,883.0,1597.0,45.0,1.0,284.0,1613.0,590.0,988.0,17280.0,3290.0,1593.0
H0152,19.0,,342.0,845.0,1599.0,38.0,0.0,346.0,428.0,1854.0,765.0,9999.0,980.0,518.0
H0153,61.0,2.0,424.0,920.0,1227.0,41.0,1.0,582.0,910.0,1708.0,,8631.0,1151.0,765.0
H0154,30.0,0.0,322.0,1038.0,1181.0,53.0,1.0,601.0,1360.0,1427.0,418.0,19847.0,3675.0,2028.0
H0155,40.0,2.0,1060.0,971.0,1058.0,21.0,,447.0,956.0,499.0,449.0,1585.0,753.0,1623.0
H0156,16.0,,213.0,387.0,602.0,43.0,1.0,736.0,575.0,729.0,274.0,18558.0,900.0,592.0
H0157,28.0,0.0,296.0,283.0,258.0,,1.0,811.0,194.0,809.0,501.0,15804.0,645.0,338.0
H0158,30.0,0.0,245.0,606.0,302.0,41.0,2.0,632.0,1049.0,2546.0,616.0,13531.0,1379.0,532.0
H0159,22.0,0.0,296.0,133.0,264.0,36.0,3.0,299.0,294.0,514.0,1350.0,14484.0,120.0,251.0
H0160,35.0,2.0,711.0,1638.0,1048.0,62.0,1.0,530.0,2477.0,842.0,746.0,19134.0,1270.0,1146.0
H0161,51.0,2.0,910.0,201.0,121.0,14.0,,531.0,198.0,367.0,372.0,3319.0,266.0,174.0
H0162,56.0,1.0,274.0,423.0,543.0,20.0,,258.0,688.0,457.0,279.0,4072.0,1747.0,381.0
H0163,52.0,2.0,271.0,841.0,839.0,41.0,1.0,170.0,278.0,619.0,516.0,6818.0,336.0,305.0
H0164,24.0,1.0,213.0,858.0,2535.0,32.0,0.0,133.0,1981.0,1392.0,859.0,5609.0,1537.0,4500.0
H0165,33.0,,828.0,854.0,1679.0,52.0,3.0,419.0,624.0,764.0,513.0,22313.0,2836.0,3685.0
H0166,46.0,1.0,747.0,1990.0,1570.0,36.0,1.0,475.0,1053.0,1952.0,751.0,11946.0,2988.0,1107.0
H0167,,0.0,381.0,1931.0,2911.0,38.0,2.0,211.0,1618.0,2728.0,523.0,12108.0,2687.0,841.0
H0168,40.0,1.0,187.0,4081.0,702.0,67.0,3.0,717.0,4500.0,3848.0,819.0,20374.0,1954.0,2922.0
H0169,37.0,,197.0,344.0,740.0,62.0,1.0,439.0,188.0,520.0,,17310.0,324.0,1833.0
H0170,51.0,2.0,443.0,581.0,293.0,31.0,1.0,847.0,474.0,963.0,1277.0,3706.0,1098.0,438.0
H0171,23.0,1.0,546.0,541.0,254.0,38.0,1.0,495.0,614.0,688.0,328.0,15549.0,1142.0,512.0
H0172,79.0,3.0,129.0,1163.0,1145.0,69.0,3.0,224.0,3469.0,1968.0,851.0,23117.0,1430.0,1605.0
H0173,22.0,1.0,338.0,1858.0,2677.0,45.0,1.0,519.0,970.0,669.0,500.0,15829.0,772.0,750.0
H0174,50.0,3.0,982.0,473.0,1760.0,20.0,0.0,583.0,910.0,541.0,540.0,4203.0,308.0,436.0
H0175,59.0,3.0,358.0,1051.0,1527.0,39.0,1.0,299.0,862.0,2787.0,507.0,4941.0,2904.0,2147.0
H0176,44.0,1.0,,846.0,272.0,30.0,,183.0,171.0,245.0,651.0,2442.0,236.0,322.0
H0177,37.0,1.0,,2383.0,799.0,26.0,2.0,426.0,2601.0,2332.0,720.0,11991.0,4408.0,4500.0
H0178,55.0,2.0,222.0,617.0,,45.0,2.0,233.0,355.0,570.0,972.0,,463.0,715.0
H0179,8.0,0.0,343.0,2148.0,1247.0,32.0,1.0,747.0,,1385.0,1157.0,10733.0,1728.0,2951.0
H0180,48.0,,376.0,3357.0,1315.0,63.0,2.0,322.0,1107.0,1790.0,676.0,19921.0,1105.0,4500.0
H0181,18.0,0.0,239.0,1794.0,1739.0,29.0,2.0,1042.0,2509.0,1846.0,1349.0,13533.0,550.0,4146.0
H0182,19.0,1.0,237.0,1680.0,1199.0,39.0,1.0,125.0,1501.0,1193.0,600.0,11581.0,3563.0,4500.0
H0183,83.0,3.0,924.0,730.0,1240.0,68.0,1.0,,602.0,662.0,981.0,15067.0,773.0,1595.0
H0184,25.0,1.0,236.0,94.0,60.0,42.0,2.0,886.0,60.0,87.0,709.0,18050.0,118.0,76.0
H0185,28.0,,730.0,1272.0,1085.0,71.0,1.0,247.0,695.0,1295.0,,20478.0,538.0,1972.0
H0186,17.0,0.0,317.0,226.0,60.0,46.0,2.0,370.0,138.0,119.0,627.0,20200.0,60.0,135.0
H0187,,1.0,398.0,3981.0,1794.0,32.0,1.0,323.0,1963.0,2064.0,736.0,10856.0,3942.0,4500.0
H0188,48.0,1.0,550.0,874.0,760.0,27.0,1.0,277.0,887.0,208.0,563.0,765.0,1704.0,333.0
H0189,35.0,1.0,,3213.0,867.0,71.0,3.0,462.0,1140.0,3169.0,704.0,21441.0,1391.0,3134.0
H0190,11.0,1.0,551.0,634.0,1007.0,59.0,2.0,198.0,1035.0,1035.0,882.0,18208.0,1307.0,583.0
H0191,57.0,2.0,131.0,982.0,1025.0,32.0,1.0,380.0,539.0,604.0,566.0,8346.0,1235.0,1305.0
H0192,35.0,1.0,514.0,1415.0,615.0,57.0,2.0,536.0,891.0,1348.0,131.0,19404.0,702.0,706.0
H0193,56.0,2.0,104.0,1716.0,633.0,15.0,1.0,358.0,973.0,339.0,1325.0,2354.0,2264.0,1254.0
H0194,26.0,0.0,356.0,1340.0,2012.0,41.0,1.0,233.0,2479.0,3786.0,493.0,7298.0,1547.0,724.0
H0195,77.0,3.0,645.0,1215.0,839.0,25.0,1.0,711.0,,1350.0,379.0,7094.0,3304.0,2730.0
H0196,60.0,2.0,568.0,3501.0,1172.0,21.0,2.0,603.0,1003.0,274.0,,2068.0,1472.0,1221.0
H0197,36.0,1.0,198.0,1294.0,988.0,55.0,2.0,,1374.0,,484.0,15696.0,1128.0,1092.0
H0198,28.0,1.0,212.0,4500.0,1870.0,35.0,1.0,198.0,2271.0,1829.0,432.0,12903.0,4500.0,4500.0
H0199,74.0,3.0,276.0,577.0,1427.0,35.0,1.0,239.0,463.0,363.0,396.0,,632.0,395.0
H0200,47.0,1.0,447.0,1478.0,1800.0,65.0,2.0,545.0,3372.0,857.0,407.0,18048.0,1195.0,1333.0
H0201,41.0,0.0,132.0,941.0,835.0,61.0,2.0,469.0,769.0,1078.0,746.0,17660.0,2276.0,1167.0
H0202,61.0,2.0,401.0,973.0,654.0,35.0,1.0,623.0,1045.0,400.0,1580.0,5029.0,1005.0,572.0
H0203,68.0,3.0,479.0,481.0,133.0,58.0,2.0,337.0,128.0,83.0,,18256.0,420.0,1113.0
H0204,,1.0,345.0,351.0,433.0,,2.0,243.0,964.0,1344.0,1004.0,4984.0,70.0,742.0
H0205,47.0,2.0,539.0,780.0,674.0,16.0,1.0,669.0,1345.0,836.0,474.0,375.0,1181.0,624.0
H0206,71.0,,456.0,1301.0,468.0,52.0,1.0,298.0,720.0,552.0,603.0,7218.0,961.0,3410.0
H0207,64.0,2.0,,1501.0,1993.0,57.0,1.0,447.0,875.0,803.0,,8929.0,1586.0,1358.0
H0208,17.0,1.0,139.0,1021.0,896.0,45.0,2.0,172.0,496.0,2248.0,412.0,17486.0,1821.0,431.0
H0209,46.0,2.0,434.0,1297.0,648.0,39.0,0.0,295.0,497.0,396.0,463.0,3867.0,1072.0,477.0
H0210,80.0,2.0,239.0,660.0,251.0,44.0,2.0,703.0,444.0,355.0,878.0,18299.0,446.0,153.0
H0211,15.0,0.0,294.0,426.0,3386.0,44.0,,272.0,307.0,392.0,987.0,17502.0,,169.0
H0212,30.0,1.0,525.0,1256.0,654.0,63.0,1.0,631.0,1252.0,738.0,592.0,15867.0,2490.0,853.0
H0213,71.0,2.0,880.0,108.0,60.0,41.0,,112.0,91.0,,315.0,5559.0,248.0,163.0
H0214,34.0,1.0,395.0,1036.0,618.0,40.0,1.0,,1423.0,951.0,494.0,14538.0,2056.0,3388.0
H0215,30.0,0.0,547.0,348.0,,48.0,1.0,367.0,182.0,327.0,278.0,21348.0,452.0,539.0
H0216,29.0,1.0,182.0,1476.0,3427.0,40.0,2.0,1052.0,1409.0,1877.0,594.0,22074.0,2978.0,2306.0
H0217,75.0,3.0,462.0,,508.0,37.0,1.0,212.0,558.0,443.0,650.0,6140.0,1428.0,432.0
H0218,71.0,3.0,390.0,379.0,1114.0,24.0,1.0,584.0,346.0,525.0,500.0,4260.0,451.0,966.0
H0219,56.0,2.0,793.0,226.0,641.0,38.0,1.0,721.0,277.0,676.0,646.0,4498.0,657.0,1164.0
H0220,57.0,,300.0,2610.0,1779.0,45.0,1.0,271.0,1160.0,858.0,705.0,7845.0,2625.0,2959.0
H0221,22.0,0.0,353.0,233.0,541.0,48.0,1.0,329.0,351.0,608.0,651.0,18041.0,1930.0,801.0
