listing_id,name,gu,lat,lon,area_m2,rooms,bathrooms,orientation,built_year,floor,total_floors,green_ratio,parking_per_unit,complex_units,daylight_hours,noise_db
H0049,영등포구 파크캐슬 7단지,영등포구,37.538468,126.884254,127.4,4,2,남서,2019,18,28,46.4,1.48,450,6.4,48.3
H0050,송파구 그린빌 8단지,송파구,37.506635,127.09159,57.9,2,1,남서,2019,2,13,34.0,0.95,2033,8.2,45.4
H0051,송파구 리버아파트 13단지,송파구,37.507559,127.10068,96.8,3,1,동,1995,19,24,39.1,1.26,904,6.2,
H0052,강남구 그린타운 3단지,강남구,37.503293,127.07014,68.6,3,1,남동,2013,9,16,45.9,0.99,6000,7.6,46.9
H0053,은평구 그린빌 2단지,은평구,37.594194,126.958498,154.0,5,2,남,2006,6,22,46.0,0.7,246,7.7,45.2
H0054,영등포구 리버빌 3단지,영등포구,37.531963,126.890925,99.4,3,1,서,2014,20,26,56.6,1.0,359,8.0,33.0
H0055,영등포구 그린캐슬 9단지,영등포구,37.52394,126.926781,86.4,4,2,남동,2010,23,23,44.6,,824,7.5,49.1
H0056,은평구 포레빌 3단지,은평구,37.606973,126.929669,101.6,3,2,북동,2021,11,24,37.6,1.18,811,5.7,53.8
H0057,노원구 파크캐슬 2단지,노원구,37.658905,127.084859,64.5,3,1,남,2008,4,12,50.1,1.01,2598,7.9,61.9
H0058,양천구 센트럴스퀘어 1단지,양천구,37.534169,126.864907,71.5,3,1,남서,2005,8,26,32.7,1.29,365,8.4,46.0
H0059,송파구 파크캐슬 8단지,송파구,37.510044,127.107997,96.6,4,2,남서,2020,9,14,33.7,0.6,1186,10.0,44.1
H0060,강남구 파크스퀘어 14단지,강남구,37.498001,127.053148,51.0,3,1,서,2014,1,21,26.8,1.51,1439,4.7,42.2
H0061,영등포구 리버스퀘어 14단지,영등포구,37.540274,126.947162,114.6,4,2,남,2016,11,21,28.2,1.42,1021,8.3,50.0
H0062,노원구 그린빌 7단지,노원구,37.649891,127.070421,51.8,1,1,북동,1999,1,22,29.8,1.35,293,4.8,50.4
H0063,양천구 센트럴타운 2단지,양천구,37.53149,126.855084,128.6,4,3,남서,1994,1,21,30.0,0.88,1730,8.2,43.7
H0064,은평구 포레캐슬 10단지,은평구,37.607684,126.944604,87.5,4,2,남서,2000,7,14,43.9,1.29,1513,6.5,45.1
H0065,영등포구 그린타운 9단지,영등포구,37.524695,126.890511,116.1,5,2,남서,2000,9,11,29.4,0.5,944,7.2,35.1
H0066,양천구 리버캐슬 10단지,양천구,37.521534,126.858564,105.3,4,2,남,2016,22,24,13.2,1.39,702,,56.3
H0067,양천구 파크캐슬 4단지,양천구,37.542363,126.880938,148.2,5,3,남동,2019,2,20,32.5,0.95,713,7.2,43.5
H0068,마포구 그린아파트 1단지,마포구,37.590801,126.908897,104.6,4,2,남,2005,7,26,35.6,0.5,567,8.1,47.9
H0069,강남구 센트럴빌 4단지,강남구,37.518102,127.051757,127.3,4,2,남동,2024,9,19,37.7,0.89,973,8.2,38.0
H0070,성동구 파크빌 7단지,성동구,37.565382,127.037324,82.9,4,2,남서,2023,7,11,55.8,1.24,616,7.7,40.6
H0071,송파구 포레빌 13단지,송파구,37.528491,127.111285,64.7,4,2,남동,2010,25,25,33.8,0.82,318,6.8,45.5
H0072,성동구 파크스퀘어 7단지,성동구,37.552306,127.043899,120.7,5,2,남,1997,12,17,,1.05,274,9.0,45.9
H0073,동작구 센트럴빌 9단지,동작구,37.51673,126.908309,64.2,3,1,남,2026,12,21,41.2,0.7,342,8.0,49.9
H0074,마포구 포레스퀘어 9단지,마포구,37.563464,126.919065,114.3,4,2,남,2006,1,15,40.0,0.36,711,8.8,56.6
H0075,강남구 리버타운 2단지,강남구,37.521281,127.031588,73.0,2,1,남,2009,3,29,32.8,1.51,590,6.7,53.7
H0076,마포구 리버아파트 5단지,마포구,37.552966,126.885323,101.9,4,1,남서,2003,3,14,39.5,1.29,707,5.5,53.4
H0077,마포구 포레아파트 4단지,마포구,37.543136,126.907465,149.0,5,2,남,1996,12,17,32.7,,876,8.1,57.1
H0078,영등포구 리버캐슬 7단지,영등포구,37.499451,126.897644,112.0,3,1,서,1989,7,20,38.6,0.83,376,8.2,51.1
H0079,양천구 하이아파트 9단지,양천구,37.502474,126.855304,90.4,4,1,남,2015,3,12,41.1,1.47,1807,7.9,46.5
H0080,은평구 포레아파트 12단지,은평구,37.596737,126.942397,105.9,4,2,남,1998,15,21,30.2,1.08,492,8.0,54.7
H0081,영등포구 포레타운 1단지,영등포구,37.522589,126.874825,83.7,3,1,서,2026,24,29,50.8,,435,6.3,52.2
H0082,성동구 그린타운 10단지,성동구,37.588484,127.030589,165.2,5,2,남,1994,8,16,43.1,,864,9.9,50.7
H0083,동작구 리버스퀘어 1단지,동작구,37.526778,126.929942,79.5,3,1,남동,1992,19,21,31.7,0.64,152,7.0,38.2
H0084,송파구 하이타운 11단지,송파구,37.501993,127.105155,92.8,4,2,북,2013,4,5,41.1,1.13,333,5.7,40.8
H0085,강남구 그린타운 1단지,강남구,37.52172,127.051762,109.4,4,2,북동,2025,14,19,43.0,1.26,1256,7.4,44.5
H0086,강남구 센트럴아파트 7단지,강남구,37.511908,127.031174,104.0,4,2,동,2008,15,17,30.0,0.97,164,5.6,53.0
H0087,영등포구 파크타운 4단지,영등포구,37.522703,126.907889,106.9,4,2,남,2014,3,14,43.2,1.01,1392,9.0,46.5
H0088,노원구 하이아파트 11단지,노원구,37.656609,127.057808,84.1,3,1,남서,1985,19,25,34.1,0.81,1869,8.5,55.0
H0089,송파구 하이스퀘어 2단지,송파구,37.522549,127.075629,89.5,3,1,북,1999,17,17,30.2,,456,7.7,56.3
H0090,노원구 하이아파트 8단지,노원구,37.64979,127.025463,119.2,4,2,북동,1994,18,18,24.4,0.56,749,7.7,56.4
H0091,송파구 그린캐슬 13단지,송파구,37.52833,127.105703,117.7,4,2,남,1984,10,17,35.8,1.03,1393,7.9,55.2
H0092,영등포구 센트럴빌 11단지,영등포구,37.511555,126.892765,104.6,4,2,남동,2008,6,7,44.7,0.75,424,6.9,39.1
H0093,노원구 센트럴캐슬 10단지,노원구,37.654282,127.055145,131.6,4,2,남,1980,11,12,31.9,0.66,1154,8.3,50.7
H0094,성동구 센트럴빌 8단지,성동구,37.59707,127.036652,120.5,4,1,남,1991,22,25,60.0,0.76,364,7.3,39.8
H0095,마포구 파크아파트 6단지,마포구,37.5667,126.912009,116.8,4,2,동,2001,6,6,46.7,1.09,421,8.3,34.7
H0096,영등포구 센트럴아파트 11단지,영등포구,37.545032,126.911462,64.0,1,1,남,1997,12,14,49.6,0.25,330,9.2,43.3
H0097,성동구 리버아파트 11단지,성동구,37.56449,127.019322,104.3,3,1,남동,2012,7,17,48.4,1.4,778,9.2,54.4
H0098,강남구 포레캐슬 6단지,강남구,37.52475,127.028548,99.6,4,2,남,2011,22,29,59.0,0.88,1434,8.6,47.2
H0099,송파구 그린캐슬 11단지,송파구,37.513762,127.088407,136.2,5,2,남동,2018,10,24,34.1,,524,8.6,61.2
H0100,광진구 포레캐슬 8단지,광진구,37.536285,127.086923,47.4,1,1,남,2016,13,16,16.4,1.0,232,8.0,51.0
H0101,광진구 리버빌 1단지,광진구,37.528367,127.102219,91.5,3,1,남동,2021,22,27,36.3,1.2,267,7.5,63.1
H0102,영등포구 그린아파트 12단지,영등포구,37.531994,126.889399,97.6,4,2,남,2007,15,15,45.7,1.66,809,,46.8
H0103,마포구 센트럴스퀘어 7단지,마포구,37.55273,126.868373,72.8,3,1,북,2011,15,25,44.6,1.01,2400,5.9,46.5
H0104,광진구 센트럴스퀘어 5단지,광진구,37.547153,127.055036,75.9,3,1,남,2013,6,11,,1.52,809,8.3,37.8
H0105,은평구 하이캐슬 2단지,은평구,37.616809,126.915771,136.3,5,3,남서,2009,5,25,51.7,1.09,450,6.1,53.2
H0106,영등포구 파크아파트 13단지,영등포구,37.531165,126.887376,106.8,4,2,남,2002,11,17,44.1,1.12,1069,7.1,42.9
H0107,노원구 하이캐슬 1단지,노원구,37.650479,127.050266,149.1,5,2,남,2003,8,13,46.5,1.02,503,8.8,41.6
H0108,마포구 포레캐슬 13단지,마포구,37.569702,126.909017,91.1,3,2,남,1997,10,18,30.0,1.2,453,9.0,56.6
H0109,강남구 포레타운 1단지,강남구,37.513187,127.042312,67.1,3,1,남,2012,15,21,29.5,0.89,293,7.1,55.8
H0110,동작구 리버스퀘어 1단지,동작구,37.524562,126.956089,88.0,3,2,남,2006,14,16,56.6,,1731,9.1,51.6
H0111,노원구 센트럴아파트 6단지,노원구,37.630392,127.045984,84.4,3,1,남동,1999,4,22,36.5,0.75,90,6.7,45.6
H0112,송파구 센트럴캐슬 10단지,송파구,37.510137,127.092103,113.0,4,2,동,1999,7,16,34.7,0.99,1095,7.2,47.4
H0113,마포구 센트럴아파트 9단지,마포구,37.537919,126.916062,111.8,4,2,남,1992,17,23,32.1,0.8,425,9.8,47.5
H0114,양천구 그린타운 12단지,양천구,37.497564,126.84183,108.1,4,2,남동,2019,19,22,35.2,1.42,442,9.0,52.3
H0115,송파구 그린빌 10단지,송파구,37.53223,127.112135,162.2,5,2,남서,2008,15,19,36.3,1.48,2141,8.7,
H0116,동작구 파크타운 7단지,동작구,37.524037,126.940941,129.5,4,2,남,1997,13,16,26.4,0.62,352,10.0,50.9
H0117,은평구 센트럴타운 4단지,은평구,37.593347,126.926741,77.1,4,2,남동,2017,18,20,26.9,0.94,361,7.4,61.2
H0118,영등포구 리버캐슬 13단지,영등포구,37.506867,126.921712,121.5,5,2,남,2000,22,22,37.4,0.51,546,7.4,52.6
H0119,성동구 그린타운 4단지,성동구,37.524761,127.027145,96.0,3,1,남,1990,19,31,33.4,1.5,821,7.3,46.5
H0120,양천구 리버스퀘어 13단지,양천구,37.509935,126.899365,90.5,3,2,남동,2019,7,25,,1.29,432,7.2,51.3
H0121,양천구 포레캐슬 3단지,양천구,37.548465,126.862793,133.8,5,2,북,2001,15,25,39.8,1.13,185,3.7,58.1
H0122,영등포구 그린아파트 14단지,영등포구,37.532053,126.875868,76.0,3,2,북,2002,27,38,40.7,0.56,314,6.2,60.0
H0123,강남구 센트럴빌 10단지,강남구,37.509926,127.048419,119.4,4,2,북,2007,3,22,35.3,1.05,1573,5.2,55.9
H0124,성동구 리버아파트 9단지,성동구,37.569346,127.01988,114.4,5,3,남동,2021,17,22,40.9,1.38,637,8.8,46.7
H0125,강남구 하이캐슬 1단지,강남구,37.496908,127.035272,75.7,2,1,남,2007,13,23,44.1,0.97,844,8.4,45.0
H0126,노원구 그린캐슬 3단지,노원구,37.650335,127.063153,63.5,2,1,남,1993,13,13,44.6,,495,7.8,49.5
H0127,마포구 센트럴캐슬 3단지,마포구,37.565093,126.917289,93.4,4,2,남,2014,4,16,39.2,1.87,367,8.3,58.1
H0128,송파구 그린빌 7단지,송파구,37.513381,127.095945,46.4,2,1,남,2001,15,16,51.5,0.67,2118,9.2,47.7
H0129,강남구 리버캐슬 13단지,강남구,37.52748,127.063098,125.2,5,3,남,2026,11,23,42.2,,523,7.1,49.8
H0130,양천구 리버캐슬 3단지,양천구,37.52148,126.88492,104.2,4,2,남동,2007,11,18,46.7,0.77,432,7.3,46.2
H0131,송파구 파크타운 1단지,송파구,37.523188,127.128881,135.0,5,3,남,1980,14,20,34.1,1.24,1369,5.7,45.5
H0132,광진구 포레타운 7단지,광진구,37.529551,127.090771,102.4,4,2,남,2011,16,26,23.3,1.43,350,6.9,48.3
H0133,양천구 파크빌 13단지,양천구,37.528672,126.888215,137.5,5,2,동,2026,22,24,44.0,1.23,385,6.9,46.8
H0134,성동구 센트럴빌 5단지,성동구,37.584476,127.007007,82.3,3,1,남동,2026,4,18,49.0,1.29,606,7.5,57.1
H0135,양천구 그린아파트 3단지,양천구,37.504388,126.861313,108.0,4,2,서,2026,11,15,47.6,1.02,602,6.1,44.0
H0136,강남구 센트럴타운 1단지,강남구,37.50566,127.033428,86.4,3,2,남,1995,26,26,42.9,1.19,731,7.9,46.3
H0137,광진구 그린스퀘어 4단지,광진구,37.555865,127.084208,92.7,4,1,남서,2018,6,24,41.3,1.06,2889,5.9,41.7
H0138,노원구 그린타운 4단지,노원구,37.651713,127.047657,97.5,4,2,남,1998,3,9,32.3,0.86,774,8.0,52.5
H0139,은평구 파크아파트 5단지,은평구,37.62095,126.926441,104.1,4,2,남동,2010,9,17,42.1,1.28,101,8.2,55.5
H0140,강남구 하이캐슬 1단지,강남구,37.511447,127.077415,79.6,3,1,남,1992,15,20,42.7,,769,8.7,56.9
H0141,노원구 리버스퀘어 8단지,노원구,37.673116,127.054084,106.7,4,1,남,1999,24,24,34.2,0.88,619,8.5,48.5
H0142,노원구 센트럴스퀘어 2단지,노원구,37.655909,127.063421,96.3,4,2,남서,1999,20,24,49.3,0.96,622,6.2,49.1
H0143,광진구 포레스퀘어 1단지,광진구,37.541857,127.078584,68.0,3,2,남,2018,17,21,33.9,1.44,724,7.6,46.5
H0144,양천구 리버아파트 11단지,양천구,37.537341,126.867611,61.5,3,1,남,2017,11,23,36.1,1.7,589,7.5,51.1
H0145,노원구 센트럴아파트 3단지,노원구,37.649497,127.056896,125.3,4,2,북동,2010,13,19,55.2,1.27,579,6.3,46.7
H0146,마포구 센트럴빌 13단지,마포구,37.551565,126.915573,54.6,2,1,남,1991,4,15,46.9,1.12,953,7.8,46.5
H0147,마포구 하이스퀘어 10단지,마포구,37.557969,126.927045,91.6,4,2,남서,2003,8,17,35.7,0.94,401,9.1,48.4
H0148,노원구 센트럴빌 12단지,노원구,37.66008,127.083158,66.4,3,2,남서,1998,4,19,40.3,0.72,296,8.1,50.2
H0149,성동구 포레빌 1단지,성동구,37.542945,127.042054,143.8,5,2,남,2017,1,19,47.1,1.38,5813,6.4,44.6
H0150,강남구 리버빌 11단지,강남구,37.525487,127.056733,109.5,4,2,남동,2021,7,8,16.1,1.27,352,8.8,48.2
H0151,동작구 포레타운 5단지,동작구,37.505396,126.920886,103.4,4,2,남,2020,14,17,,0.75,649,9.0,58.6
H0152,동작구 포레타운 4단지,동작구,37.527322,126.937894,78.0,3,1,동,1998,10,19,36.5,0.84,196,6.4,65.0
H0153,송파구 그린아파트 13단지,송파구,37.483375,127.120945,67.8,2,1,남,1980,1,17,33.9,0.7,657,8.4,40.4
H0154,양천구 그린아파트 3단지,양천구,37.506775,126.880255,99.6,4,2,남,1986,2,18,,0.63,299,7.3,39.4
H0155,강남구 그린타운 7단지,강남구,37.495276,127.050686,94.8,4,1,남,2024,3,22,51.7,1.73,432,,39.7
H0156,영등포구 포레캐슬 3단지,영등포구,37.515659,126.910482,73.0,3,2,북동,2002,10,13,38.2,1.14,1318,7.3,46.2
H0157,마포구 리버아파트 10단지,마포구,37.56702,126.916252,72.4,3,2,서,1998,2,9,30.2,1.38,857,6.8,54.0
H0158,영등포구 센트럴빌 7단지,영등포구,37.52407,126.915505,71.6,3,2,북동,2026,5,17,46.2,1.36,922,6.1,50.1
H0159,영등포구 파크타운 2단지,영등포구,37.523106,126.90093,71.1,2,1,동,2022,21,24,36.5,1.26,159,7.6,48.2
H0160,은평구 그린스퀘어 14단지,은평구,37.600631,126.923409,81.6,4,2,동,2007,26,29,41.4,0.75,2387,6.9,49.8
H0161,강남구 리버스퀘어 14단지,강남구,37.519844,127.052673,103.4,4,2,남동,2003,19,24,35.4,1.01,246,8.7,42.8
H0162,광진구 하이캐슬 9단지,광진구,37.525389,127.03541,107.8,4,2,북동,2005,4,10,62.0,1.03,1894,6.4,42.1
H0163,송파구 하이스퀘어 9단지,송파구,37.523689,127.112026,94.3,3,1,남서,2010,11,18,21.8,,1295,7.9,49.2
H0164,강남구 리버캐슬 13단지,강남구,37.525815,126.988925,98.5,3,1,남동,2026,5,21,39.8,1.11,928,7.8,37.1
H0165,양천구 센트럴캐슬 1단지,양천구,37.522005,126.838825,109.1,4,2,남서,2012,18,20,39.5,1.01,317,6.7,39.0
H0166,성동구 리버아파트 10단지,성동구,37.570535,127.044328,58.1,2,1,남서,2016,2,22,34.4,1.29,674,6.1,41.1
H0167,동작구 센트럴캐슬 6단지,동작구,37.516253,126.94694,100.4,4,2,남,2021,10,13,49.3,1.37,423,5.8,50.2
H0168,은평구 파크타운 9단지,은평구,37.629156,126.910501,131.1,5,2,남동,1993,10,19,45.8,,615,8.3,47.7
H0169,마포구 센트럴스퀘어 14단지,마포구,37.562668,126.897006,48.6,2,1,남,2016,17,22,40.5,1.31,499,6.9,50.6
H0170,광진구 하이스퀘어 14단지,광진구,37.534508,127.104229,91.0,3,1,서,2003,11,24,34.3,0.94,130,7.0,36.0
H0171,마포구 그린아파트 5단지,마포구,37.554004,126.900656,124.0,4,1,남동,1980,3,14,37.5,0.25,1396,7.8,37.8
H0172,노원구 하이아파트 9단지,노원구,37.640781,127.092687,91.4,3,1,서,1981,13,17,36.0,0.58,566,7.8,51.5
H0173,마포구 리버캐슬 4단지,마포구,37.547622,126.908369,110.9,4,2,남동,1995,4,5,37.3,1.25,418,,33.0
H0174,광진구 센트럴타운 7단지,광진구,37.526946,127.088829,102.9,4,1,동,2013,7,15,38.4,0.58,395,7.1,55.1
H0175,송파구 하이타운 8단지,송파구,37.513581,127.13177,71.4,2,1,남,2008,6,16,43.1,1.1,787,9.6,34.7
H0176,강남구 그린빌 14단지,강남구,37.521546,127.049396,75.1,3,2,북동,2009,5,13,45.9,1.58,308,8.3,51.5
H0177,성동구 포레아파트 5단지,성동구,37.563965,127.021062,137.5,5,3,남동,2026,10,20,28.2,1.03,111,8.8,42.9
H0178,광진구 리버캐슬 4단지,광진구,37.528548,127.080544,117.1,4,2,남,1992,5,19,29.5,0.87,817,8.1,55.5
H0179,동작구 하이캐슬 6단지,동작구,37.524102,126.93873,92.9,3,1,남,2007,2,5,25.2,0.63,888,,69.5
H0180,은평구 파크타운 12단지,은평구,37.612312,126.907264,89.9,4,2,남,2011,6,20,48.2,1.62,518,8.5,33.0
H0181,동작구 포레아파트 11단지,동작구,37.510325,126.935207,78.1,3,2,남동,1998,1,13,39.7,0.92,254,7.0,51.7
H0182,동작구 파크캐슬 4단지,동작구,37.503912,126.927425,105.1,4,2,동,2007,21,22,44.8,1.06,643,8.4,34.0
H0183,노원구 포레타운 6단지,노원구,37.66133,127.07159,79.6,4,2,북동,1988,3,11,22.9,,201,5.6,52.0
H0184,마포구 그린빌 6단지,마포구,37.566244,126.908954,87.1,4,2,동,2024,4,19,56.8,1.47,279,6.7,43.6
H0185,은평구 리버빌 12단지,은평구,37.583874,126.924575,81.6,2,1,남서,1999,3,17,32.7,0.67,343,7.4,49.1
H0186,영등포구 그린아파트 4단지,영등포구,37.525516,126.894601,115.1,4,1,남동,2026,21,21,45.2,1.07,1133,8.5,39.7
H0187,성동구 파크빌 12단지,성동구,37.566706,127.04067,92.0,3,2,서,2007,10,20,47.3,1.21,459,7.4,51.1
H0188,강남구 하이빌 2단지,강남구,37.505504,127.057169,98.7,3,2,서,2019,6,17,32.1,0.99,430,6.1,38.8
H0189,은평구 리버아파트 2단지,은평구,37.605168,126.913105,71.7,2,1,남,2006,5,10,37.9,0.36,2607,6.5,55.1
H0190,마포구 센트럴스퀘어 2단지,마포구,37.544887,126.891735,81.4,3,2,북,2007,1,10,42.3,1.03,784,7.5,44.0
H0191,광진구 센트럴빌 7단지,광진구,37.55587,127.099975,99.2,3,1,남동,2000,5,15,62.0,0.49,776,10.0,34.8
H0192,마포구 하이스퀘어 4단지,마포구,37.580023,126.901803,64.3,3,1,서,2008,5,19,42.5,1.58,456,7.1,57.3
H0193,송파구 파크스퀘어 3단지,송파구,37.511217,127.083231,90.3,3,1,북,2011,13,15,54.3,1.15,385,5.1,44.1
H0194,동작구 그린빌 14단지,동작구,37.517125,126.946401,95.0,4,2,동,1998,2,23,46.8,0.65,117,5.9,59.1
H0195,송파구 하이빌 5단지,송파구,37.483171,127.113314,69.6,3,1,남,2005,8,17,44.6,,1245,8.5,54.2
H0196,송파구 파크빌 12단지,송파구,37.499467,127.081409,122.5,5,3,남서,2000,11,13,31.1,0.36,842,9.4,42.6
H0197,양천구 포레타운 1단지,양천구,37.513181,126.870072,103.8,4,2,남,2026,15,17,51.7,0.93,526,7.0,44.3
H0198,동작구 센트럴스퀘어 12단지,동작구,37.498462,126.951069,91.8,4,2,서,2006,11,20,26.4,1.36,543,6.8,49.6
H0199,송파구 파크타운 4단지,송파구,37.523787,127.11189,80.1,3,2,남,2026,5,21,57.9,1.99,1045,7.9,54.8
H0200,마포구 그린빌 6단지,마포구,37.589765,126.918512,63.7,2,1,동,2005,11,30,39.5,1.26,188,,50.5
H0201,은평구 리버빌 3단지,은평구,37.587404,126.906632,120.0,4,2,북동,2010,4,15,15.8,1.06,387,5.9,51.6
H0202,광진구 포레아파트 9단지,광진구,37.527613,127.087597,85.1,2,1,남,1991,13,19,33.6,0.72,257,6.4,46.4
H0203,노원구 리버스퀘어 6단지,노원구,37.657261,127.051958,67.1,2,1,남동,2002,7,22,48.0,0.68,2272,8.2,45.9
