listing_id,dad__work__drive_min,dad__work__transit_min,dad__work__walk_min,dad__gym__drive_min,dad__gym__transit_min,dad__gym__walk_min,mom__work__drive_min,mom__work__transit_min,mom__work__walk_min,mom__mart__drive_min,mom__mart__transit_min,mom__mart__walk_min,child__school__drive_min,child__school__transit_min,child__school__walk_min,child__academy__drive_min,child__academy__transit_min,child__academy__walk_min
H0061,13.1,25.7,49.4,12.6,24.5,31.6,29.3,43.7,155.5,28.3,44.2,135.1,31.1,54.7,176.2,38.8,65.3,202.0
H0062,,88.1,311.9,62.2,82.4,368.0,53.7,89.4,288.8,57.2,86.9,291.1,58.2,86.4,298.8,53.8,88.8,274.8
H0063,,34.7,112.2,27.7,40.4,122.2,53.4,74.4,289.6,49.6,71.4,286.6,60.8,87.3,301.4,63.9,89.6,373.7
H0064,37.3,46.0,177.3,31.7,55.9,162.4,45.5,88.3,286.2,46.0,63.5,220.3,,76.3,266.3,56.7,84.0,289.2
H0065,16.0,23.6,52.3,16.8,30.1,63.2,42.0,60.3,217.4,40.9,62.2,223.1,,66.0,266.9,59.6,78.3,273.8
H0066,25.1,36.1,111.5,25.3,37.8,114.3,49.6,69.8,281.1,44.3,75.1,268.1,57.1,81.8,296.8,63.3,81.6,
H0067,19.2,31.1,73.8,18.7,32.5,88.3,47.0,73.6,202.1,45.2,62.8,230.9,48.9,68.1,278.0,59.9,87.2,290.1
H0068,,52.0,137.6,28.8,42.4,126.9,55.8,82.7,265.0,43.1,68.4,234.9,51.8,66.5,273.3,60.9,85.0,309.4
H0069,42.9,64.8,195.1,,59.5,203.0,16.2,26.1,55.5,13.2,25.2,63.1,12.5,20.6,,12.0,26.7,38.0
H0070,39.5,55.5,200.0,39.0,53.2,182.9,29.2,46.5,129.1,25.7,33.5,108.6,26.9,39.1,127.0,27.5,49.8,149.6
H0071,51.5,84.2,304.0,,79.5,281.8,29.9,41.0,158.4,32.5,47.1,153.7,23.5,42.3,111.7,20.7,37.2,96.4
H0072,36.8,57.8,186.4,41.5,50.1,168.8,24.3,37.2,110.3,22.6,34.2,88.9,22.4,37.8,98.3,22.4,39.3,120.0
H0073,9.9,19.0,29.6,13.1,23.4,38.3,39.8,53.6,191.7,37.7,53.8,201.2,39.1,61.1,219.7,50.9,71.6,245.5
H0074,21.0,33.0,85.6,18.2,30.0,68.9,44.6,55.0,211.8,33.6,63.6,205.7,41.6,69.7,227.7,51.6,68.8,260.4
H0075,35.4,55.0,,32.2,50.0,163.8,13.1,24.2,41.8,9.9,18.1,28.7,11.7,21.0,39.0,17.4,25.0,61.5
H0076,22.0,32.7,,,29.0,77.8,48.9,60.3,232.3,51.5,62.8,239.7,50.5,66.3,262.4,47.0,78.2,318.8
H0077,14.2,26.7,51.7,13.0,25.0,45.3,36.0,56.4,226.4,35.6,46.9,195.0,48.4,67.5,205.5,,73.8,
H0078,16.6,25.1,61.3,21.8,32.4,81.2,41.8,58.8,176.8,41.0,56.6,189.3,47.7,,241.5,47.5,,254.6
H0079,26.9,40.1,116.2,29.0,41.3,111.9,55.4,72.3,260.0,48.2,72.0,276.9,59.4,80.6,307.1,71.1,86.4,330.9
H0080,31.4,,153.8,28.6,43.6,127.3,45.9,70.7,233.9,42.5,60.4,219.7,44.1,79.9,261.1,47.2,75.3,276.3
H0081,20.0,31.8,80.8,22.9,30.2,92.4,54.3,72.2,278.9,43.5,72.2,236.4,50.4,68.3,263.3,54.2,82.2,267.1
H0082,40.7,69.5,230.7,33.7,54.9,204.3,34.6,58.7,192.2,34.2,52.8,158.5,35.4,53.7,192.2,31.8,,183.4
H0083,8.1,16.3,13.6,6.1,14.0,6.8,34.7,54.3,160.0,31.3,47.5,152.3,36.3,52.8,183.8,44.3,62.3,231.4
H0084,53.9,83.8,266.9,57.3,85.9,287.8,27.0,45.1,135.8,28.3,43.6,139.4,21.9,37.5,90.8,16.1,32.1,66.3
H0085,37.1,59.9,187.8,39.2,55.6,,16.3,27.3,,14.3,27.8,56.8,12.4,,33.6,13.1,25.3,48.1
H0086,36.3,52.2,175.2,34.6,53.7,174.7,10.8,20.1,31.7,9.3,17.2,18.3,10.2,19.6,23.7,14.1,25.1,58.0
H0087,,18.1,29.5,11.3,21.0,38.8,39.7,60.9,178.7,33.5,51.7,202.2,44.2,60.1,245.3,51.3,,249.4
H0088,64.5,95.8,333.9,61.2,90.1,314.8,64.3,88.7,346.5,58.7,72.8,278.4,,79.4,334.4,62.5,86.1,292.8
H0089,48.5,64.9,199.0,51.8,66.3,222.4,23.5,33.2,89.2,25.6,,95.6,16.0,28.7,63.6,16.4,23.4,51.2
H0090,59.3,87.4,267.4,57.4,83.9,293.9,,81.9,283.1,58.7,82.4,274.6,60.2,90.9,274.1,55.4,79.9,329.1
H0091,57.7,86.3,272.4,54.1,75.1,283.7,31.2,42.6,137.0,31.5,53.1,159.4,25.2,39.2,121.8,21.5,36.1,83.4
H0092,15.1,26.2,52.8,17.3,26.0,73.8,40.7,65.2,221.0,40.2,60.3,190.2,42.4,65.0,237.1,47.5,74.0,265.2
H0093,61.5,89.7,328.4,58.5,78.7,322.2,63.0,86.1,306.1,48.5,,279.9,52.6,84.7,294.6,57.4,78.7,
H0094,45.5,69.6,,36.4,61.0,229.4,37.8,56.6,207.8,32.7,49.6,165.2,35.3,65.6,204.4,,59.4,213.9
H0095,19.2,33.8,91.3,19.8,28.6,80.3,48.5,63.4,221.0,,63.2,211.2,44.8,70.5,256.9,54.5,77.7,274.0
H0096,13.2,26.5,56.0,13.9,23.5,45.4,47.7,56.1,217.1,35.6,49.4,169.0,44.3,72.5,262.7,53.4,62.9,242.9
H0097,32.3,46.6,166.3,29.2,48.1,168.3,28.6,47.2,139.1,23.4,39.9,106.4,28.6,40.1,129.1,33.3,47.2,149.4
H0098,31.8,50.4,156.5,31.2,57.8,148.9,12.8,,54.5,11.4,21.7,28.4,15.3,,47.0,17.6,32.2,69.1
H0099,51.9,63.5,270.8,45.2,63.3,222.3,22.4,34.5,99.5,22.7,39.5,111.7,18.5,30.9,69.0,15.4,25.3,46.8
H0100,47.1,65.8,232.8,,72.1,277.4,29.0,43.7,123.8,23.9,40.0,115.4,20.9,35.2,80.4,20.0,37.3,75.3
H0101,52.7,86.4,291.5,52.8,70.6,279.3,29.8,42.3,139.4,29.0,46.4,122.4,20.0,34.8,101.2,20.0,35.7,79.5
H0102,17.5,28.5,60.6,14.5,27.1,57.7,45.9,60.0,264.1,39.5,63.1,229.1,49.3,67.8,274.2,51.5,87.0,311.2
H0103,23.9,36.3,108.3,25.4,38.5,103.4,56.7,82.7,294.7,46.9,68.6,232.9,56.5,87.7,309.6,59.2,106.6,311.0
H0104,44.6,56.2,238.6,42.4,50.2,213.3,,36.7,116.2,20.6,39.1,99.1,20.9,35.8,87.0,25.1,37.3,100.4
H0105,36.0,45.6,183.7,35.2,54.7,172.8,61.4,79.8,362.3,53.9,74.1,258.0,66.2,92.6,283.3,63.7,91.2,312.8
H0106,16.3,26.3,71.7,14.5,32.6,66.2,48.5,67.3,241.8,41.9,66.5,239.9,53.8,81.7,260.7,55.4,85.0,302.2
H0107,57.5,104.1,322.1,,82.0,338.7,64.6,91.4,319.0,53.9,66.0,301.3,58.7,,313.0,56.5,80.3,282.0
H0108,22.4,37.2,,22.5,33.7,80.8,47.5,68.3,249.5,44.0,68.2,198.8,45.6,70.1,260.3,63.3,79.3,283.7
H0109,40.3,54.6,190.0,29.7,59.2,172.2,13.4,20.1,36.7,12.0,23.6,34.6,8.6,18.5,18.1,14.5,21.9,43.9
H0110,12.9,25.6,47.9,13.0,22.7,44.5,26.8,43.8,122.5,23.5,37.7,111.1,30.7,49.5,139.3,34.3,55.8,207.0
H0111,57.2,72.0,276.6,48.1,73.4,280.9,49.3,72.6,258.3,49.2,72.7,241.0,46.1,66.6,267.3,49.9,71.0,276.0
H0112,52.4,73.7,275.8,53.2,61.9,270.5,26.8,42.5,,26.7,41.2,114.1,19.5,,59.7,14.4,23.7,49.7
H0113,11.5,21.3,37.6,10.1,20.2,30.0,39.7,58.3,193.0,35.3,51.2,190.8,43.7,65.3,221.8,48.3,72.3,258.4
H0114,26.7,45.2,134.4,33.2,48.6,157.5,,68.9,298.9,54.7,82.2,270.1,56.4,87.2,382.2,62.6,93.9,404.9
H0115,57.2,87.2,320.6,57.4,74.7,300.1,32.0,49.3,163.3,30.3,,154.9,28.6,,108.0,24.1,31.8,91.1
H0116,10.2,19.7,30.1,10.8,18.1,21.7,29.8,53.7,,26.2,41.1,138.3,35.1,56.4,167.7,44.1,53.5,189.1
H0117,,48.6,159.2,27.2,40.8,128.5,48.5,78.9,247.4,46.3,70.1,236.7,43.9,77.0,258.7,49.7,73.3,282.7
H0118,11.1,19.0,31.9,14.6,23.3,49.5,,59.1,162.1,33.6,52.8,155.4,39.2,64.1,190.4,40.8,61.3,219.2
H0119,37.6,54.3,180.1,29.0,51.1,157.9,15.7,23.7,59.1,11.8,19.4,32.0,14.6,21.0,53.3,18.3,31.6,75.3
H0120,13.6,,40.8,18.1,25.1,67.5,36.0,64.7,217.2,39.4,54.7,169.1,48.5,68.1,240.1,48.8,74.9,237.8
H0121,23.2,36.3,109.9,23.9,42.2,118.3,53.0,74.4,249.9,50.6,70.5,242.8,56.1,87.4,306.3,71.4,97.2,366.4
H0122,19.8,29.6,75.8,19.8,29.8,87.3,54.7,72.5,245.9,47.9,70.7,239.2,55.7,68.6,290.2,61.8,88.3,274.8
H0123,40.4,64.8,201.1,38.7,55.1,182.3,12.8,20.5,42.4,14.6,21.9,45.7,8.0,14.9,,12.1,21.8,31.7
H0124,40.0,54.0,173.1,30.1,57.8,164.7,26.6,44.3,152.4,27.9,,120.4,26.3,41.8,166.1,31.9,51.4,168.1
H0125,39.3,61.1,,37.2,59.2,180.4,9.2,15.1,14.2,12.0,22.4,39.4,8.8,18.2,23.6,13.3,23.7,45.2
H0126,65.3,89.1,384.7,64.7,,325.7,61.6,90.7,317.5,60.6,79.9,266.0,60.2,90.4,297.3,51.6,89.8,282.1
H0127,23.1,36.9,87.7,18.8,28.1,85.5,43.4,68.1,230.9,40.1,63.0,194.5,50.0,77.5,208.4,54.1,79.8,241.7
H0128,48.1,77.3,281.9,45.5,72.1,256.7,24.6,40.1,114.4,27.7,40.3,123.4,20.5,30.4,80.4,16.6,27.5,59.3
H0129,41.6,65.6,218.0,41.6,62.6,218.6,21.4,,78.8,19.5,30.4,74.0,16.7,26.4,58.8,,28.4,54.0
H0130,15.6,30.6,63.9,19.5,30.2,80.1,43.7,65.5,228.1,43.5,58.9,238.4,53.3,75.6,233.2,53.9,66.6,291.3
H0131,59.6,,325.9,51.9,86.1,319.2,,49.5,169.8,33.9,57.6,187.0,30.9,46.4,118.1,25.3,38.9,104.5
H0132,46.2,69.8,274.1,45.7,72.3,298.1,27.2,,119.3,27.5,38.5,122.4,19.6,34.4,88.9,18.9,29.7,79.9
H0133,16.8,25.9,64.9,18.4,28.0,65.6,45.9,72.0,200.3,50.6,,240.3,55.1,73.6,278.8,57.7,85.5,286.9
H0134,36.4,57.1,203.9,34.5,46.0,168.5,,58.1,172.4,30.8,47.8,135.6,36.3,58.9,171.6,34.7,64.1,195.5
H0135,21.5,33.5,109.1,27.3,39.6,114.7,50.4,70.7,266.4,49.2,66.5,253.1,54.2,87.2,285.8,63.7,78.8,353.8
H0136,33.4,56.5,184.5,39.7,56.3,168.0,9.7,,18.7,9.6,17.6,24.6,8.7,16.0,16.9,14.2,26.7,48.0
H0137,,71.5,242.6,50.2,64.5,255.5,29.1,41.4,145.2,28.4,49.3,129.3,26.8,43.1,124.1,24.1,37.1,112.7
H0138,65.1,96.0,324.7,60.9,83.4,326.1,52.0,93.6,321.1,60.8,81.0,294.1,49.5,86.5,308.3,49.6,77.5,294.9
H0139,45.4,49.4,213.0,44.0,52.3,187.2,58.5,79.2,272.7,49.1,69.9,247.3,59.7,84.4,262.3,60.9,87.4,
H0140,57.2,66.0,259.8,45.7,68.7,258.9,21.1,30.8,75.0,20.8,35.0,96.7,14.0,27.4,58.4,12.8,20.3,33.9
H0141,70.4,86.8,373.0,61.5,91.4,346.2,68.4,106.3,345.6,,89.2,356.5,65.0,92.7,355.9,72.9,83.8,328.5
H0142,60.7,88.6,370.4,63.9,98.9,322.4,62.5,95.6,339.6,54.1,103.0,306.8,55.6,84.9,328.6,60.8,89.9,269.6
H0143,,72.1,257.8,47.8,70.6,283.1,25.8,40.9,134.8,22.2,40.1,99.0,21.1,34.5,95.8,23.9,35.2,85.8
H0144,22.7,34.8,104.4,22.2,33.0,103.9,54.1,73.4,281.6,50.4,68.9,232.2,52.3,69.0,303.2,60.2,93.8,328.4
H0145,58.9,88.6,339.0,55.0,89.9,297.8,58.1,83.7,276.3,65.3,87.4,297.6,54.7,80.1,301.4,61.0,80.5,304.3
H0146,16.0,27.0,61.0,16.6,23.1,47.4,40.0,62.4,205.4,36.6,49.0,186.7,50.3,62.5,240.4,48.1,72.5,278.8
H0147,17.6,30.4,,15.9,25.0,53.4,39.2,66.2,204.4,31.8,54.4,143.6,46.8,57.9,188.6,46.1,70.0,280.2
H0148,69.1,93.2,298.5,63.2,98.1,380.5,72.2,,341.5,63.7,98.9,345.3,61.3,95.4,283.9,58.1,98.7,341.2
H0149,41.5,60.5,197.9,39.0,53.0,176.1,19.2,36.4,97.6,17.8,30.1,76.4,18.9,31.8,73.1,18.7,27.8,103.2
H0150,42.3,64.9,157.4,40.0,63.7,204.2,,32.2,68.3,18.8,24.9,63.2,14.5,23.4,45.6,16.4,23.6,56.9
H0151,11.5,21.2,,14.5,23.6,52.1,,48.3,171.9,32.2,48.4,169.7,42.7,56.6,203.5,42.5,65.7,254.1
H0152,9.4,19.4,26.2,8.6,15.5,15.4,32.0,51.5,159.7,27.7,48.9,129.4,33.9,55.1,180.8,38.8,56.4,234.1
H0153,53.6,89.7,333.3,54.6,82.9,299.4,30.8,,160.9,34.3,53.7,161.7,27.7,45.8,139.2,20.7,35.1,105.1
H0154,18.3,35.1,70.7,22.1,33.0,85.7,39.2,55.8,222.3,46.1,60.9,228.6,44.1,69.7,283.7,54.7,80.0,305.9
H0155,41.2,61.0,198.1,46.2,65.1,208.0,,18.4,37.1,15.4,25.0,65.2,10.4,18.0,21.1,10.8,17.1,22.0
H0156,11.5,18.4,28.4,13.6,23.8,45.1,37.2,53.0,154.3,34.4,51.5,195.2,48.7,66.8,219.2,54.6,70.2,244.6
H0157,21.8,32.6,89.7,18.6,34.7,80.1,37.7,67.7,215.6,39.6,61.2,206.4,47.0,59.4,225.8,45.8,79.1,263.9
H0158,9.1,15.3,18.3,10.0,22.1,25.4,39.8,56.7,179.7,31.6,57.1,174.7,35.4,61.5,207.3,45.6,67.6,250.7
H0159,11.9,19.8,38.2,13.8,22.5,51.5,45.5,62.1,193.5,39.6,,202.5,47.4,64.9,237.8,46.9,71.6,249.4
H0160,30.2,46.8,163.7,29.6,46.3,135.3,56.2,84.6,267.9,40.6,70.5,217.5,49.0,75.6,207.7,61.0,82.0,297.0
H0161,38.0,60.2,228.0,38.3,53.8,189.6,16.5,24.4,60.0,15.0,23.5,59.0,10.9,19.8,38.7,13.7,23.2,37.5
H0162,34.2,55.4,179.2,36.8,49.2,157.4,15.7,26.1,48.3,13.4,20.1,38.3,14.0,23.4,,,25.3,77.2
H0163,65.2,82.7,278.0,48.5,76.8,316.6,33.3,47.5,146.8,32.0,49.4,153.0,25.7,44.6,109.0,21.7,35.5,91.2
H0164,22.2,35.0,103.1,23.3,32.3,99.1,22.5,30.7,78.6,16.6,24.1,58.7,22.0,35.1,,27.0,41.7,
H0165,30.8,47.4,136.3,30.0,43.5,152.8,62.3,83.9,314.9,54.9,79.0,299.8,59.2,91.5,322.1,74.7,105.1,396.5
H0166,39.8,66.2,194.6,40.9,58.7,217.2,,42.1,135.4,29.9,43.5,129.2,28.6,49.6,133.4,31.9,48.8,149.3
H0167,13.2,21.5,37.8,11.6,20.1,47.2,29.1,48.4,134.5,27.5,37.0,92.4,31.8,47.7,152.9,39.7,61.3,207.3
H0168,44.0,60.5,206.1,43.9,63.3,177.7,62.7,83.8,316.4,58.0,75.9,299.8,57.0,100.7,366.5,54.0,88.9,324.9
H0169,21.6,36.0,100.0,,30.4,80.4,41.6,79.9,250.7,46.6,64.3,232.9,49.4,,260.8,55.5,79.0,342.4
H0170,54.7,80.9,288.5,56.7,92.7,265.7,31.2,46.0,144.3,31.8,47.8,147.9,,43.7,113.2,25.6,32.3,104.3
H0171,17.9,27.4,74.4,15.6,27.7,63.9,52.5,71.6,227.5,40.3,66.3,208.4,47.8,74.8,271.3,58.6,74.3,284.9
H0172,69.1,96.0,356.4,67.6,92.7,315.5,60.4,83.5,272.2,49.6,83.0,320.0,48.7,80.4,294.7,47.7,86.8,316.4
H0173,15.4,27.0,59.8,14.8,22.2,49.2,46.8,62.7,192.6,39.9,58.2,197.7,48.9,67.0,233.2,,82.2,243.0
H0174,46.2,69.2,273.7,43.4,80.3,231.6,25.6,37.8,109.6,26.5,37.6,118.9,16.2,30.8,89.8,16.2,26.6,68.1
H0175,56.6,91.0,307.6,60.7,94.9,330.6,34.5,52.7,169.3,39.0,50.3,191.7,28.7,45.6,164.7,28.2,38.0,125.3
H0176,40.3,53.2,185.0,39.4,58.5,192.0,16.4,27.3,57.1,13.9,24.2,54.4,11.3,22.2,35.6,14.6,24.3,43.6
H0177,39.8,58.9,190.1,34.5,,166.1,27.0,41.5,139.5,22.8,39.3,102.2,27.4,41.8,,29.1,48.7,151.9
H0178,48.8,77.1,242.2,47.3,69.7,248.5,22.1,36.9,103.0,24.3,37.9,86.3,19.2,29.5,75.4,17.0,24.6,67.9
H0179,9.9,18.1,22.0,9.3,15.9,20.0,34.4,46.0,141.3,28.3,37.3,128.6,38.3,52.4,190.0,33.2,53.6,
H0180,38.0,57.2,190.3,38.3,57.6,165.2,62.2,95.7,293.3,45.4,72.2,287.4,55.3,90.3,294.5,58.2,94.1,298.5
H0181,11.8,,30.4,14.0,,47.4,29.2,47.4,152.2,,48.1,132.3,37.2,58.3,172.2,40.9,52.3,228.2
H0182,12.3,19.6,32.8,11.9,25.4,54.3,,55.6,164.2,27.1,47.6,156.8,38.3,53.9,167.5,45.2,61.2,208.0
H0183,66.1,95.9,371.3,63.4,77.6,301.5,62.6,89.7,379.6,55.5,77.6,318.0,52.6,82.5,290.5,52.9,89.5,315.0
H0184,23.5,32.0,98.4,,29.4,75.2,46.7,68.5,222.8,45.6,71.9,229.1,54.7,72.7,240.3,52.0,80.2,255.7
